"Occupation Title","Occupation Code","Employment 2022","Employment 2032","Employment Change, 2022-2032","Employment Percent Change, 2022-2032","Occupational Openings, 2022-2032 Annual Average","Median Annual Wage 2022","Typical Entry-Level Education","Education Code","Work Experience in a Related Occupation","Workex Code","Typical on-the-job Training","trCode",Industry,At Risk
"Obstetricians and gynecologists    * Gynecological Oncologist* Gynecologist* Maternal-Fetal Medicine Physician* OB Specialist* OB/GYN* OB/GYN Physician* Obstetrician* Obstetrician/Gynecologist","=""29-1218""","22.9","23.4","0.5","2.2","0.7","239,200","Doctoral or professional degree","1","None","4","Internship/residency","1",-,-1
"Judges, magistrate judges, and magistrates    * Administrative Court Justice* Circuit Court Judge* County Court Judge* Criminal Court Judge* District Court Judge* Jurist* Justice* Probate Judge* Trial Court Judge* Tribal Judge","=""23-1023""","29.6","30.2","0.7","2.2","1.2","151,030","Doctoral or professional degree","1","5 years or more","1","Short-term on-the-job training","5",-,-1
"Funeral home managers    * Funeral Home Director* Funeral Home Manager* Funeral Service Manager","=""11-9171""","36.4","37.2","0.8","2.2","2.7","72,110","Associate's degree","4","Less than 5 years","2","None","6",-,-1
"Glaziers    * Leaded Glass Installer* Plate Glass Installer* Stained Glass Glazier* Stained Glass Installer* Stained Glass Joiner* Window Glazier","=""47-2121""","54.5","55.7","1.2","2.2","5.5","48,720","High school diploma or equivalent","7","None","4","Apprenticeship","2",-,-1
"Eligibility interviewers, government programs    * Medicare Interviewer* Public Housing Interviewer* Social Security Benefits Interviewer* Unemployment Benefits Claims Taker* Welfare Interviewer","=""43-4061""","157.5","161.0","3.5","2.2","14.1","49,230","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4",-,-1
"Judicial law clerks    * Judicial Clerk","=""23-1012""","16.3","16.6","0.4","2.3","1.0","57,490","Doctoral or professional degree","1","None","4","None","6",-,-1
"Helpers--pipelayers, plumbers, pipefitters, and steamfitters    * Gas Main Fitter Helper* Hydraulic Plumber Helper* Industrial Gas Fitter Helper* Marine Pipefitter Helper* Marine Steam Fitter Helper* Pipe Fitter Helper* Plumber Assistant* Plumber Helper* Sewer Pipe Layer Helper* Sprinkler Fitter Helper* Trench Pipe Layer Helper* Water Main Installer Helper","=""47-3015""","47.8","48.9","1.1","2.3","5.4","36,340","High school diploma or equivalent","7","None","4","Short-term on-the-job training","5",-,-1
"Educational instruction and library workers, all other    * Aptitude Test (SAT) Grader* General Educational Development (GED¿) Examiner","=""25-9099""","145.3","148.6","3.3","2.3","12.9","47,650","Bachelor's degree","3","None","4","None","6",-,-1
"Plumbers, pipefitters, and steamfitters    * Fire Sprinkler Installer* Gas Main Fitter* Gas Plumber* Hydraulic Plumber* Industrial Gas Fitter* Marine Pipefitter* Marine Steamfitter* Master Plumber* Pipe Fitter* Plumber* Solar Thermal Installer* Sprinkler Fitter* Steamfitter* Water Pump Installer","=""47-2152""","482.7","493.6","10.9","2.3","42.6","60,090","High school diploma or equivalent","7","None","4","Apprenticeship","2",-,-1
"Rail yard engineers, dinkey operators, and hostlers    * Coal Tram Driver* Dinkey Driver* Dinkey Operator* Engine Hostler* Haulage Engine Operator* Railcar Switcher* Yard Hostler","=""53-4013""","2.6","2.6","0.1","2.4","0.2","56,340","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4",-,-1
"Foresters    * Environmental Protection Forester* Forest Ecologist* Forestry Scientist* Land Management Forester* Operations Forester* Resource Forester* Service Forester* Timber Management Specialist* Urban Forester","=""19-1032""","11.3","11.6","0.3","2.4","0.9","64,220","Bachelor's degree","3","None","4","None","6",-,-1
"Radiation therapists    * Radiation Therapy Technologist* Registered Radiation Therapist","=""29-1124""","15.9","16.3","0.4","2.4","0.7","89,530","Associate's degree","4","None","4","None","6",-,-1
"Molders, shapers, and casters, except metal and plastic    * Burial Vault Maker* Cigar Roller* Clay Modeler* Concrete Vault Maker* Glass Bender* Glass Block Bender* Glass Blower* Glass Presser* Glass Tube Bender* Mannequin Mold Maker* Neon Glass Bender* Neon Glass Blower* Neon Molder* Neon Tube Bender* Rubber Molder* Stone Carver","=""51-9195""","44.7","45.8","1.1","2.4","5.8","39,590","High school diploma or equivalent","7","None","4","Long-term on-the-job training","3",-,-1
"Merchandise displayers and window trimmers    * Display Artist* Display Decorator* Display Designer* Display Specialist* Mannequin Decorator* Merchandise Displayer* Show Floor Decorator* Visual Merchandiser* Visual Merchandising Specialist* Window Decorator* Window Draper* Window Dresser* Window Trimmer","=""27-1026""","173.4","177.5","4.1","2.4","20.8","35,380","High school diploma or equivalent","7","None","4","Short-term on-the-job training","5",-,-1
"First-line supervisors of mechanics, installers, and repairers    * Automobile Body Repair Supervisor* Body Shop Supervisor* Electronic Maintenance Supervisor* Fleet Maintenance Supervisor* Heating, Ventilation, and Air Conditioning Supervisor* Oil Field Equipment Mechanic Supervisor* Railroad Car Repair Supervisor* Repair Department Supervisor","=""49-1011""","576.2","590.2","14.0","2.4","49.2","73,140","High school diploma or equivalent","7","Less than 5 years","2","None","6",-,-1
"Building cleaning workers, all other    * Building Pressure Washer* Chimney Sweep* Chimney Sweeper","=""37-2019""","17.1","17.5","0.4","2.5","2.5","37,200","No formal educational credential","8","None","4","Short-term on-the-job training","5",-,-1
"Electric motor, power tool, and related repairers    * AC/DC Rewinder* Armature Rewinder* Battery Repairer* Dynamo Repairer* Electric Motor Fitter* Electric Motor Rewinder* Electrical Parts Reconditioner","=""49-2092""","16.1","16.5","0.4","2.5","1.3","48,260","High school diploma or equivalent","7","Less than 5 years","2","Moderate-term on-the-job training","4",-,-1
"Medical appliance technicians    * Arch-Support Maker* Brace Maker* Hearing Aid Repair Technician* Manufacturing Orthopedic Technologist* Orthotic Fabricator Technician* Orthotic Finish Grinding Technician* Orthotics Fitter* Orthotics Technician* Prosthetics Fabrication Technician* Prosthetics Lab Technician* Prosthetics Technician* Surgical Appliance Fitter","=""51-9082""","16.6","17.1","0.4","2.5","2.0","42,160","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4",-,-1
"Petroleum engineers    * Natural Gas Engineer* Oil Drilling Engineer* Oil Exploration Engineer* Oil Well Engineer* Petroleum Engineer","=""17-2171""","21.4","21.9","0.5","2.5","1.2","131,800","Bachelor's degree","3","None","4","None","6",-,-1
"Tree trimmers and pruners    * Pruner* Tree Pruner* Tree Specialist* Tree Surgeon* Tree Trimmer* Utility Arborist","=""37-3013""","66.0","67.6","1.7","2.5","8.6","47,080","High school diploma or equivalent","7","None","4","Short-term on-the-job training","5",-,-1
"General internal medicine physicians    * General Internal Medicine Doctor* General Internist* Internal Medicine Physician* Internist","=""29-1216""","72.6","74.4","1.8","2.5","2.1","214,460","Doctoral or professional degree","1","None","4","Internship/residency","1",-,-1
"Helpers--installation, maintenance, and repair workers    * Automobile Body Repairer Helper* Cable Splicer Helper* Hydroelectric Machinery Mechanic Helper* Locksmith Helper* Logging Equipment Mechanic Helper* Mechanic's Assistant* Meter Repairer Helper* Motorboat Mechanic Helper* Powerhouse Mechanic Helper* Streetcar Repairer Helper","=""49-9098""","96.5","98.9","2.4","2.5","11.0","35,100","High school diploma or equivalent","7","None","4","Short-term on-the-job training","5",-,-1
"Probation officers and correctional treatment specialists    * Correctional Treatment Specialist* Juvenile Probation Officer* Parole Agent* Parole Officer* Probation Officer","=""21-1092""","93.9","96.2","2.4","2.5","7.4","59,860","Bachelor's degree","3","None","4","Moderate-term on-the-job training","4",-,-1
"Instructional coordinators    * Curriculum Coordinator* Curriculum Designer* Curriculum Specialist* Curriculum and Assessment Director* Curriculum and Instruction Director* Instructional Materials Director* School Curriculum Developer* Special Education Curriculum Specialist","=""25-9031""","216.6","222.0","5.3","2.5","19.2","66,490","Master's degree","2","5 years or more","1","None","6",-,-1
"Network and computer systems administrators    * LAN Administrator* LAN Systems Administrator* Local Area Network Administrator* Network Analyst* Network Coordinator* Network Support Coordinator* Network Support Manager* Network Systems Administrator* Network Systems Coordinator* WAN Systems Administrator* Wide Area Network Administrator","=""15-1244""","339.9","348.2","8.3","2.5","19.8","90,520","Bachelor's degree","3","None","4","None","6",-,-1
"First-line supervisors of construction trades and extraction workers    * Carpenter Supervisor* Drilling Foreman* Electrician Supervisor* Excavating Supervisor* Foreman* Foreperson* Forewoman* Quarry Boss* Rig Supervisor* Roustabout Crew Leader* Segmental Paving Supervisor* Solar Panel Installation Supervisor* Tool Pushers","=""47-1011""","809.9","830.3","20.4","2.5","66.6","74,080","High school diploma or equivalent","7","5 years or more","1","None","6",-,-1
"Gambling managers    * Bingo Manager* Casino Manager* Gambling Department Head* Gambling Director* Gambling Manager* Slot Operations Director* Slots Manager* Table Games Manager","=""11-9071""","5.3","5.4","0.1","2.6","0.6","80,710","High school diploma or equivalent","7","Less than 5 years","2","None","6",-,-1
"Social sciences teachers, postsecondary, all other    * Social Science Professor* Survey Research Professor* Urban Planning Professor","=""25-1069""","19.2","19.7","0.5","2.6","1.6","75,390","Doctoral or professional degree","1","None","4","None","6",-,-1
"Anesthesiologists    * Ambulatory Anesthesiologist* Anaesthesiologist* Anesthetist* Attending Anesthesiologist* Obstetrical Anesthesiologist* Staff Anesthetist","=""29-1211""","40.0","41.1","1.0","2.6","1.2","239,200","Doctoral or professional degree","1","None","4","Internship/residency","1",-,-1
"First-line supervisors of landscaping, lawn service, and groundskeeping workers    * Gardening Supervisor* Greenskeeper Supervisor* Grounds Crew Supervisor* Grounds Foreman* Grounds Maintenance Supervisor* Head Greenskeeper* Horticultural Services Supervisor* Landscape Installation Foreman* Turf and Grounds Supervisor","=""37-1012""","230.9","237.0","6.1","2.6","24.3","50,810","High school diploma or equivalent","7","Less than 5 years","2","None","6",-,-1
"Pharmacists    * Apothecary* Clinical Pharmacist* Druggist* Hospital Pharmacist* Registered Pharmacist","=""29-1051""","334.2","342.9","8.7","2.6","13.4","132,750","Doctoral or professional degree","1","None","4","None","6",-,-1
"Dentists, all other specialists    * Endodontist* Maxillofacial Pathology* Oral Pathologist* Pediatric Dentist* Pedodontist* Periodontist* Public Health Dentist","=""29-1029""","5.8","6.0","0.2","2.7","0.2","212,740","Doctoral or professional degree","1","None","4","Internship/residency","1",-,-1
"Criminal justice and law enforcement teachers, postsecondary    * Criminal Justice Professor* Criminology Professor* Penology Professor","=""25-1111""","16.5","16.9","0.4","2.7","1.3","64,990","Doctoral or professional degree","1","None","4","None","6",-,-1
"Transportation inspectors    * Aircraft Inspector* Aircraft Landing Gear Inspector* Aircraft Quality Control Inspector* Airworthiness Safety Inspector* Freight Inspector* Locomotive Inspector* Motor Vehicle Emissions Inspector* Railroad Car Inspector* Railroad Inspector* School Bus Inspector* Transit Vehicle Inspector","=""53-6051""","25.7","26.4","0.7","2.7","2.4","79,570","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4",-,-1
"Philosophy and religion teachers, postsecondary    * Biblical Studies Professor* Divinity Professor* Eastern Philosophy Professor* Ethics Professor* Old Testament Professor* Pastoral Ministries Professor* Religious Studies Professor* Theology Professor* Western Philosophy Professor","=""25-1126""","29.1","29.9","0.8","2.7","2.4","78,780","Doctoral or professional degree","1","None","4","None","6",-,-1
"First-line supervisors of farming, fishing, and forestry workers    * Animal Caretaker Supervisor* Aquacultural Worker Supervisor* Corn Crop Supervisor* Corral Boss* Cranberry Bog Supervisor* Farm Supervisor* Farrowing Manager* Feed Manager* Fish Hatchery Supervisor* Harvest Crew Supervisor* Harvest Manager* Logging Crew Supervisor* Picking Crew Supervisor* Planting Supervisor* Ranch Hand Supervisor","=""45-1011""","56.6","58.1","1.5","2.7","7.7","54,490","High school diploma or equivalent","7","Less than 5 years","2","None","6",-,-1
"Opticians, dispensing    * Certified Optician* Contact Lens Fitter* Eyeglass Fitter* Licensed Dispensing Optician* Licensed Optical Dispenser* Licensed Optician* Optical Dispenser* Optician","=""29-2081""","73.3","75.2","2.0","2.7","6.4","39,610","High school diploma or equivalent","7","None","4","Long-term on-the-job training","3",-,-1
"Information and record clerks, all other    * Election Clerk* Flight Crew Scheduler* Probate Clerk* Student Admissions Clerk","=""43-4199""","161.1","165.4","4.3","2.7","18.9","44,720","High school diploma or equivalent","7","None","4","Short-term on-the-job training","5",-,-1
"Counter and rental clerks    * Airplane Charter Clerk* Apartment Rental Clerk* Automobile Rental Clerk* Automotive Service Writer* Bicycle Rental Clerk* Boat Rental Clerk* Car Rental Agent* Dry Cleaning Counter Clerk* Layaway Clerk* Rental Clerk* Storage Facility Rental Clerk* Video Rental Clerk","=""41-2021""","380.8","391.2","10.4","2.7","45.7","35,830","No formal educational credential","8","None","4","Short-term on-the-job training","5",-,-1
"Operating engineers and other construction equipment operators    * Angle Dozer Operator* Blade Grader Operator* Construction Backhoe Operator* Construction Bulldozer Operator* Construction Excavator* Construction Shovel Operator* Ditching Machine Operating Engineer* Grader Operator* Motor Grader Operator* Road Grader* Scraper Operator* Steam Shovel Operating Engineer* Steam Shovel Operator","=""47-2073""","437.6","449.2","11.6","2.7","38.2","51,430","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4",-,-1
"Court reporters and simultaneous captioners    * Court Recording Monitor* Court Stenographer* Court Transcriber* Deposition Reporter* Realtime Captioner* Stenocaptioner* Voice Writing Reporter","=""27-3092""","21.3","21.9","0.6","2.8","2.1","63,560","Postsecondary nondegree award","5","None","4","Short-term on-the-job training","5",-,-1
"Emergency medicine physicians    * Critical Care Physician* Disaster Medicine Physician* Emergency Medicine Specialist","=""29-1214""","31.3","32.2","0.9","2.8","0.9","239,200","Doctoral or professional degree","1","None","4","Internship/residency","1",-,-1
"Funeral attendants    * Funeral Assistant* Funeral Greeter* Funeral Home Assistant* Funeral Home Associate* Mortician Helper* Pallbearer* Undertaker Helper","=""39-4021""","33.2","34.2","0.9","2.8","4.9","31,160","High school diploma or equivalent","7","None","4","Short-term on-the-job training","5",-,-1
"Camera operators, television, video, and film    * Electronic News Gathering Camera Operator* Motion Picture Camera Operator* Movie Shot Camera Operator* News Camera Operator* News Videographer* Television Camera Operator* Video Camera Operator","=""27-4031""","36.5","37.5","1.0","2.8","3.2","58,230","Bachelor's degree","3","None","4","None","6",-,-1
"Stationary engineers and boiler operators    * Boiler Engineer* Boiler Operator* Boiler Plant Operator* Boiler Room Operator* Heating, Ventilation, and Air Conditioning (HVAC) Mechanic Boiler Operator* High Pressure Boiler Operator","=""51-8021""","33.5","34.4","1.0","2.8","3.6","67,120","High school diploma or equivalent","7","None","4","Long-term on-the-job training","3",-,-1
"Education administrators, all other","=""11-9039""","57.6","59.2","1.6","2.8","4.0","89,130","Bachelor's degree","3","Less than 5 years","2","None","6",-,-1
"Security and fire alarm systems installers    * Alarm Adjuster* Alarm Technician* Burglar Alarm Installer* Fire Alarm Installer* Fire Alarm Technician* Home Security Alarm Installer","=""49-2098""","83.0","85.3","2.3","2.8","8.9","50,130","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4",-,-1
"Electrical power-line installers and repairers    * Electric Powerline Examiner* Electric Utility Lineworker* Electrical High Tension Tester* Electrical Lineworker* Power Lineworker* Underground Conduit Installer","=""49-9051""","122.4","125.8","3.5","2.8","9.7","82,340","High school diploma or equivalent","7","None","4","Long-term on-the-job training","3",-,-1
"Motorboat operators    * Launch Operator* Outboard Motorboat Operator* Speedboat Driver* Speedboat Operator* Water Taxi Ferry Operator* Water Taxi Operator","=""53-5022""","3.6","3.7","0.1","2.9","0.4","41,430","Postsecondary nondegree award","5","Less than 5 years","2","None","6",-,-1
"Roustabouts, oil and gas    * Gas Floorhand* Oil Field Roustabout* Oil Rig Floorhand* Oil Rig Roughneck* Oil and Gas Floorhand* Roustabout* Roustabout Pusher","=""47-5071""","42.1","43.3","1.2","2.9","4.4","43,590","No formal educational credential","8","None","4","Moderate-term on-the-job training","4",-,-1
"Special education teachers, all other    * Special Education Teacher for Adults with Disabilities","=""25-2059""","43.9","45.2","1.3","2.9","3.1","63,950","Bachelor's degree","3","None","4","None","6",-,-1
"Loan officers    * Branch Lending Officer* Commercial Lender* Loan Analyst* Loan Officer* Loan Reviewer* Payday Loan Officer* Real Estate Loan Officer","=""13-2072""","354.8","365.3","10.4","2.9","25.3","65,740","Bachelor's degree","3","Less than 5 years","2","Moderate-term on-the-job training","4",-,-1
"Law teachers, postsecondary    * Constitutional Law Professor* Contracts Law Professor* Criminal Law Professor* Environmental Law Professor* Labor Law Professor* Torts Law Professor","=""25-1112""","19.8","20.4","0.6","3.0","1.6","108,860","Doctoral or professional degree","1","Less than 5 years","2","None","6",-,-1
"Zoologists and wildlife biologists    * Aquatic Biologist* Entomologist* Fish Culturist* Fishery Biologist* Herpetologist* Ichthyologist* Lepidopterist* Marine Biologist* Migratory Game Bird Biologist* Ornithologist* Protozoologist* Wildlife Biologist","=""19-1023""","19.1","19.7","0.6","3.0","1.5","67,430","Bachelor's degree","3","None","4","None","6",-,-1
"Food and tobacco roasting, baking, and drying machine operators and tenders    * Bean Roaster* Coffee Roaster* Fish Smoker* Food Dehydrator Operator* Grain Roaster* Malt House Kiln Operator* Meat Curer* Meat Smoker* Sausage Smoker* Smokehouse Worker* Tobacco Drier Operator","=""51-3091""","21.5","22.2","0.7","3.0","3.0","37,790","No formal educational credential","8","None","4","Moderate-term on-the-job training","4",-,-1
"Millwrights    * Construction Millwright* Machine Erector* Machinery Dismantler* Maintenance Millwright* Manufacturing Millwright","=""49-9044""","42.1","43.4","1.3","3.0","3.5","60,930","High school diploma or equivalent","7","None","4","Apprenticeship","2",-,-1
"Physical therapist aides    * Clinical Rehabilitation Aide* Physical Therapy Aide* Physiotherapy Aide","=""31-2022""","44.5","45.8","1.3","3.0","6.3","31,410","High school diploma or equivalent","7","None","4","Short-term on-the-job training","5",-,-1
"Protective service workers, all other    * Warrant Server","=""33-9099""","95.0","97.9","2.9","3.0","28.6","36,460","High school diploma or equivalent","7","None","4","Short-term on-the-job training","5",-,-1
"Librarians and media collections specialists    * Acquisitions Librarian* Audio-Visual Collections Coordinator* Catalog Librarian* Children's Librarian* Collection Development Librarian* College Librarian* Electronic Resources Librarian* Film Librarian* Government Documents Librarian* High School Librarian* Interlibrary Loan Services Librarian* Law Librarian* Library Media Specialist* Medical Librarian* Multimedia Services Coordinator* Music Librarian* Periodicals Librarian* Record Librarian* Reference Librarian* Research Librarian* School Librarian* Serials Librarian* Technical Services Librarian* University Librarian* Youth Services Librarian","=""25-4022""","141.2","145.5","4.3","3.0","13.7","61,660","Master's degree","2","None","4","None","6",-,-1
"Court, municipal, and license clerks    * Circuit Court Clerk* City Clerk* Court Clerk* Courtroom Clerk* Deputy Court Clerk* Docket Clerk* Dog Licenser* License Clerk* Motor Vehicle License Clerk* Motor Vehicle Representative* Municipal Clerk* Tax Clerk* Township Clerk* Warrant Clerk","=""43-4031""","170.6","175.7","5.1","3.0","17.7","44,140","High school diploma or equivalent","7","None","4","Long-term on-the-job training","3",-,-1
"First-line supervisors of housekeeping and janitorial workers    * Building Cleaning Supervisor* Cleaning Staff Supervisor* Custodial Supervisor* Head Custodian* Head School Custodian* Janitor Supervisor* Maid Supervisor* Maintenance and Custodian Supervisor","=""37-1011""","254.9","262.6","7.7","3.0","30.4","44,440","High school diploma or equivalent","7","Less than 5 years","2","None","6",-,-1
"Physicians, all other    * Gastroenterologist* Immunologist* Nephrologist* Oncologist* Physiatrist* Pulmonary Physician* Pulmonologist* Rheumatologist","=""29-1229""","330.9","341.0","10.0","3.0","9.9","223,410","Doctoral or professional degree","1","None","4","Internship/residency","1",-,-1
"Historians    * Genealogist* Historiographer* Protohistorian","=""19-3093""","3.5","3.6","0.1","3.1","0.3","64,540","Master's degree","2","None","4","None","6",-,-1
"Geological technicians, except hydrologic technicians    * Crude Tester* Geological Sample Tester* Geophysical Prospector* Magnetometer Operator* Mineral Technologist* Mining Technician* Mud Logger* Petroleum Technician* Seismic Interpreter* Seismic Observer* Seismograph Operator","=""19-4043""","9.4","9.6","0.3","3.1","1.0","48,490","Associate's degree","4","None","4","Moderate-term on-the-job training","4",-,-1
"Dermatologists    * Dermatopathologist* Procedural Dermatologist","=""29-1213""","12.4","12.8","0.4","3.1","0.4","239,200","Doctoral or professional degree","1","None","4","Internship/residency","1",-,-1
"Cardiologists    * Electrophysiology Cardiologist* Interventional Cardiologist","=""29-1212""","18.0","18.6","0.6","3.1","0.5","239,200","Doctoral or professional degree","1","None","4","Internship/residency","1",-,-1
"Designers, all other    * Memorial Marker Designer","=""27-1029""","33.5","34.6","1.1","3.1","2.8","65,390","Bachelor's degree","3","None","4","None","6",-,-1
"Engineering technologists and technicians, except drafters, all other    * Agricultural Engineering Technician* Agricultural Engineering Technologist* Biomedical Engineering Technician* Biomedical Engineering Technologist* Chemical Engineering Technician* Chemical Engineering Technologist* Marine Engineering Technician* Marine Engineering Technologist* Materials Engineering Technician* Materials Engineering Technologist* Metallurgical Engineering Technician* Metallurgical Engineering Technologist* Non-Destructive Testing Specialist* Nuclear Engineering Technician* Nuclear Engineering Technologist* Optical Engineering Technician* Optical Engineering Technologist* Ordnance Engineering Technician* Ordnance Engineering Technologist* Radar Technicians* Salvage Engineering Technician* Salvage Engineering Technologist* Sonar Technicians","=""17-3029""","74.1","76.4","2.3","3.1","7.0","65,520","Associate's degree","4","None","4","None","6",-,-1
"Pest control workers    * Exterminator* Fumigator* Insecticide Expert* Mosquito Sprayer* Pest Controller* Rat Exterminator* Rodent Exterminator* Termite Technician* Termite Treater","=""37-2021""","95.0","98.0","3.0","3.1","12.6","38,310","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4",-,-1
"First-line supervisors of police and detectives    * Commanding Officer Homicide Squad* Detective Lieutenant* Detective Supervisor* Police Lieutenant* Traffic Lieutenant* Traffic Sergeant","=""33-1012""","137.9","142.2","4.3","3.1","9.5","96,290","High school diploma or equivalent","7","Less than 5 years","2","Moderate-term on-the-job training","4",-,-1
"Food servers, nonrestaurant    * Boat Hop* Hospital Food Service Worker* Room Service Food Server","=""35-3041""","258.6","266.6","8.1","3.1","43.7","30,300","No formal educational credential","8","None","4","Short-term on-the-job training","5",-,-1
"Pile driver operators    * Diesel Pile Hammer Operator* Hydraulic Pile Hammer Operator* Hydraulic Press-In Operator* Vibratory Pile Driver","=""47-2072""","3.3","3.4","0.1","3.2","0.3","64,310","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4",-,-1
"Transit and railroad police    * Railroad Detective* Railroad Police Officer* Track Patrol* Transit Authority Police* Transit Police Officer","=""33-3052""","3.4","3.5","0.1","3.2","0.3","69,150","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4",-,-1
"Neurologists    * Clinical Neuromuscular Pathologist* Epileptologist* Headache Specialist","=""29-1217""","12.2","12.5","0.4","3.2","0.4","224,260","Doctoral or professional degree","1","None","4","Internship/residency","1",-,-1
"Cooks, all other    * Falafel Cart Cook* Fraternity House Cook","=""35-2019""","20.2","20.8","0.6","3.2","3.1","33,390","No formal educational credential","8","None","4","Moderate-term on-the-job training","4",-,-1
"First-line supervisors of gambling services workers    * Blackjack Pit Boss* Blackjack Supervisor* Cardroom Manager* Cardroom Supervisor* Casino Slot Supervisor* Casino Supervisor* Electronic Gambling Device Supervisor* Executive Casino Host* Gambling Supervisor* Pit Boss* Poker Room Supervisor* Slot Floor Supervisor* Slot Host* Slot Key Person* Slot Shift Manager* Table Games Supervisor","=""39-1013""","29.7","30.6","1.0","3.2","3.3","56,290","High school diploma or equivalent","7","Less than 5 years","2","None","6",-,-1
"Mathematical science teachers, postsecondary    * Actuarial Science Professor* Biostatistics Professor* Calculus Professor* Geometry Professor* Mathematics Professor* Statistical Methods Professor* Statistics Professor* Topology Professor","=""25-1022""","55.9","57.7","1.8","3.2","4.6","77,420","Doctoral or professional degree","1","None","4","None","6",-,-1
"Chemical technicians    * Assayer* Chemical Laboratory Technician* Inorganic Chemical Technician","=""19-4031""","58.8","60.7","1.9","3.2","7.1","50,840","Associate's degree","4","None","4","Moderate-term on-the-job training","4",-,-1
"Industrial engineering technologists and technicians    * Industrial Engineering Technician* Industrial Engineering Technologist* Motion Study Technician* Production Control Technologist* Time Study Technician* Time Study Technologist","=""17-3026""","69.1","71.3","2.2","3.2","6.5","61,210","Associate's degree","4","None","4","None","6",-,-1
"Actors    * Actor Understudy* Actress* Dramatic Reader* Elocutionist* Monologist* Vaudeville Actor* Voice-Over Artist","=""27-2011""","78.1","80.6","2.5","3.2","9.3","0","Some college, no degree","6","None","4","Long-term on-the-job training","3",-,-1
"Art, drama, and music teachers, postsecondary    * Ballet Professor* Graphic Design Professor* Media Arts Professor* Music Professor* Photography Professor* Piano Performance and Pedagogy Professor* Piano Professor* Scene and Lighting Design Lecturer* Stagecraft Professor* Theatre Professor* Voice Professor","=""25-1121""","123.9","127.8","3.9","3.2","10.2","77,280","Master's degree","2","None","4","None","6",-,-1
"Refuse and recyclable material collectors    * Garbage Collector* Recyclable Materials Collector* Refuse Collector* Scrap Metal Collector* Solid Waste Collector* Trash Collector","=""53-7081""","146.4","151.1","4.7","3.2","18.6","43,540","No formal educational credential","8","None","4","Short-term on-the-job training","5",-,-1
"Self-enrichment teachers    * Citizenship Teacher* Driver Education Instructor* Knitting Instructor* Recreational Activities Instructor","=""25-3021""","354.7","366.1","11.4","3.2","44.1","44,110","High school diploma or equivalent","7","Less than 5 years","2","None","6",-,-1
"Real estate sales agents    * Agricultural Real Estate Agent* Apartment Rental Agent* Industrial Real Estate Agent* Land Sales Agent* Right of Way Agent","=""41-9022""","462.6","477.6","14.9","3.2","40.5","49,980","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4",-,-1
"Emergency management directors    * Director of Civil Defense* Disaster Response Director* EMS Director* Emergency Management System Director* Emergency Planner* Emergency Planning and Response Manager* Emergency Preparedness Coordinator* Emergency Services Director* Emergency Services Program Coordinator* Public Safety Director","=""11-9161""","11.8","12.2","0.4","3.3","0.9","79,180","Bachelor's degree","3","5 years or more","1","None","6",-,-1
"Recreation and fitness studies teachers, postsecondary    * Health and Physical Education Professor* Human Performance Professor* Kinesiology Professor* Leisure Studies Professor* Physical Education (PE) Professor* Physical Education Professor* Swimming Professor","=""25-1193""","16.3","16.8","0.5","3.3","1.3","72,650","Doctoral or professional degree","1","None","4","None","6",-,-1
"Fashion designers    * Apparel Designer* Clothes Designer* Clothing Designer* Costume Designer* Custom Furrier* Dance Costume Designer* Dress Designer* Hat Designer* Sweater Designer* Uniform Designer","=""27-1022""","24.9","25.7","0.8","3.3","2.3","76,700","Bachelor's degree","3","None","4","None","6",-,-1
"Budget analysts    * Budget Analyst* Budget Coordinator* Budget Examiner* Budget Officer* Cost Analyst","=""13-2031""","51.6","53.3","1.7","3.3","3.6","82,260","Bachelor's degree","3","None","4","None","6",-,-1
"Surveying and mapping technicians    * Cartographic Aide* Cartographic Technician* Field Map Technician* GIS Mapping Technician* Geophysical Prospecting Surveying Technician* Mapping Technician* Mineral Surveying Technician* Surveying Technician* Topography Technician","=""17-3031""","64.2","66.3","2.1","3.3","7.8","47,180","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4",-,-1
"Engineers, all other    * Calibration Engineer* Coastal Engineer* Corrosion Control Engineer* Mathematical Engineer* Mechatronics Engineer* Metrologist* Ocean Engineer* Optical Engineer* Ordnance Engineer* Photonics Engineer* Salvage Engineer","=""17-2199""","170.3","176.0","5.7","3.3","10.4","104,600","Bachelor's degree","3","None","4","None","6",1,0
"Tutors    * Algebra Tutor* Reading Tutor* Spanish Tutor* Standardized Test Tutor","=""25-3041""","223.7","231.1","7.4","3.3","39.1","36,680","Some college, no degree","6","None","4","None","6",-,-1
"Graphic designers    * Graphic Artist* Visual Designer","=""27-1024""","270.9","279.8","8.9","3.3","22.8","57,990","Bachelor's degree","3","None","4","None","6",-,-1
